restaurant_name,website,contact_page,google_rating,review_count
Messina's Runway Cafe,http://messinasrunwaycafe.com/?utm_source=google-business-profile&utm_medium=organic,https://messinasrunwaycafe.com/contact/,4.5,748.0
Criollo Restaurant,http://criollonola.com/,http://criollonola.com/contact,4.5,736.0
Rally's,https://locations.checkersandrallys.com/la/new-orleans/3222-south-carrollton-ave?y_source=1_MzAyMjAwMi03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,https://www.checkersandrallys.com/contact-us,3.6,720.0
Rally's,https://locations.rallys.com/la/new-orleans/2135-st-bernard-avenue?y_source=1_MTA4MzkzNTUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,https://www.rallys.com/contact-us/,3.5,706.0
Pizza Hut,https://locations.pizzahut.com/la/new-orleans/2077-caton-street?utm_medium=organic&utm_source=local&utm_campaign=googlelistings&utm_content=website&utm_term=310119,https://www.pizzahut.com/contact-us,3.6,704.0
Phở Tầu Bay Restaurant,http://www.photaubayrestaurant.com/,http://photaubayrestaurant.com/#contact,4.5,696.0
PUPUSERIA LA MACARENA,http://www.pupusasnola.com/,,4.6,690.0
Tommy's Cuisine,https://bit.ly/TommysCuisineHomeOloSync2024,,4.3,681.0
Wendy's,https://locations.wendys.com/united-states/la/new-orleans/1129-clearview-pkwy?utm_source=Yext&utm_medium=Google_My_Business&utm_campaign=Local_Search&utm_content=EN_US,https://www.wendys.com/contact-us,3.3,678.0
House Of Kebab,https://houseofkebab-nola.com/,,4.5,663.0
Chicken & Watermelon,https://www.chickenandwatermelon.online/,,4.2,643.0
Wendy's,https://locations.wendys.com/united-states/la/new-orleans/6020-bullard-avenue?utm_source=Yext&utm_medium=Google_My_Business&utm_campaign=Local_Search&utm_content=EN_US,https://www.wendys.com/contact-us,3.4,627.0
Cafe Roma,https://www.caferomamenu.com/?utm_source=gbp,,4.2,624.0
El Pavo Real,https://www.elpavorealnola.com/,https://elpavorealnola.com/contact/,4.5,620.0
Cafe Abyssinia,https://www.cafeabyssinia.com/,https://www.cafeabyssinia.com/contact-reservation,4.6,613.0
Cajun Joe's Seafood,https://www.facebook.com/pages/Cajun%20Joe's%20Seafood/113366722031074/,,4.6,611.0
Spicy Mango,https://spicymangonola.com/,https://www.spicymangonola.com/contact-us,4.9,566.0
New York Pizza,http://www.newyorkpizzanola.com/,,4.2,563.0
Waffle House,https://locations.wafflehouse.com/neworleans-la-2048,https://www.wafflehouse.com/contact/,3.9,558.0
Frenchmen All Day,http://www.frenchmennola.com/,https://www.frenchmennola.com/contact,4.4,546.0
J's Creole Wings Claiborne,http://jscreolewings.com/,,4.4,545.0
Domino's Pizza,https://www.dominos.com/en/?utm_source=google&utm_medium=loclist&utm_campaign=localmaps_menutest,,2.9,522.0
Baru Bistro & Tapas,http://barutapasnola.com/,,4.6,521.0
Wendy's,https://locations.wendys.com/united-states/la/new-orleans/3601-gen-degaulle-dr?utm_source=Yext&utm_medium=Google_My_Business&utm_campaign=Local_Search&utm_content=EN_US,https://www.wendys.com/contact-us,3.3,519.0
Louisiana Pride Seafood,https://louisiana-seafood.edan.io/,https://edan.io/contact-more,4.4,499.0
Ray's Uptown,http://www.facebook.com/raysontheave,https://www.facebook.com/help/637205020878504,4.4,494.0
Burritos Grill - New Orleans,http://burritosgrillmexicanrestaurant.com/,https://burritosgrillmexicanrestaurant.com/contact/,4.4,489.0
Chinese Inn,http://www.chinese-inn-no.com/,http://chinese-inn-no.com/#contactform,4.3,486.0
Orchid Seafood,https://www.facebook.com/OrchidNOLA/,https://www.facebook.com/help/637205020878504,4.3,481.0
Broadview Seafood,https://www.broadviewseafood.net/,,4.0,463.0
Wendy's,https://locations.wendys.com/united-states/la/new-orleans/5600-tchoupitoulas-st?utm_source=Yext&utm_medium=Google_My_Business&utm_campaign=Local_Search&utm_content=EN_US,https://www.wendys.com/contact-us,3.0,463.0
Origami Restaurant,https://origaminola.com/?utm_source=google,,4.4,456.0
POKE LOA,https://www.eatpokeloa.com/,https://eatpokeloa.com/contact/,4.5,449.0
Magasin Vietnamese Cafe,https://magasincafe.info/a-taste-of-vietnam,,4.6,447.0
Union Ramen Bar,http://www.unionramen.com/,,4.4,443.0
Sake Cafe Elmwood,https://www.sakecafela.com/menu.html,https://sakecafela.com/contact-us.html,4.2,433.0
